representation,index_type,params,recall@1,recall@10,recall@100,qps,search_time_s,build_time_s,memory_mb,num_index_vectors,num_queries,dimension,embedding_model,nlist,nprobe,M,efConstruction,efSearch
static_turn_embeddings,FlatL2,{},1.0,1.0,1.0,33.38499627992415,299.5357530117035,,2900.4580078125,990023,10000,768,all-mpnet-base-v2,,,,,
static_turn_embeddings,IVF,"{'nlist': 4096, 'nprobe': 1}",0.5736,0.6429699999999999,0.551181,3727.627744871351,2.682671308517456,244.63282251358032,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,1.0,,,
static_turn_embeddings,IVF,"{'nlist': 4096, 'nprobe': 4}",0.6421,0.8052500000000001,0.801338,1582.8711488335982,6.317633628845215,244.63282251358032,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,4.0,,,
static_turn_embeddings,IVF,"{'nlist': 4096, 'nprobe': 16}",0.6611,0.8611200000000001,0.9082300000000001,458.3200176286344,21.8188157081604,244.63282251358032,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,16.0,,,
static_turn_embeddings,IVF,"{'nlist': 4096, 'nprobe': 64}",0.6681,0.87672,0.9420950000000001,131.96446578476744,75.77797508239746,244.63282251358032,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,64.0,,,
static_turn_embeddings,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 16}",0.6306,0.83696,0.592758,4514.558179600304,2.2150561809539795,1608.1903343200684,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,16.0
static_turn_embeddings,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 64}",0.6516,0.8599,0.881502,2050.660251052244,4.87647819519043,1608.1903343200684,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,64.0
static_turn_embeddings,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 128}",0.6568,0.8654800000000001,0.932933,1103.4421506080948,9.06255030632019,1608.1903343200684,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,128.0
static_turn_embeddings,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 256}",0.6605,0.8692400000000001,0.939542,642.6595215380446,15.560338973999023,1608.1903343200684,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,256.0
dynamic_dialogue_states,FlatL2,{},1.0,1.0,1.0,33.60837416647808,297.544890165329,,2900.4580078125,990023,10000,768,all-mpnet-base-v2,,,,,
dynamic_dialogue_states,IVF,"{'nlist': 4096, 'nprobe': 1}",0.9094,0.9495899999999999,0.743394,3681.5443880968865,2.7162513732910156,239.13753986358643,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,1.0,,,
dynamic_dialogue_states,IVF,"{'nlist': 4096, 'nprobe': 4}",0.9181,0.97693,0.933422,1262.1104471820086,7.923236846923828,239.13753986358643,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,4.0,,,
dynamic_dialogue_states,IVF,"{'nlist': 4096, 'nprobe': 16}",0.9182,0.98015,0.9836370000000001,419.3720359937507,23.845175981521606,239.13753986358643,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,16.0,,,
dynamic_dialogue_states,IVF,"{'nlist': 4096, 'nprobe': 64}",0.9182,0.981,0.995302,119.35209462925505,83.78571009635925,239.13753986358643,2900.4580078125,990023,10000,768,all-mpnet-base-v2,4096.0,64.0,,,
dynamic_dialogue_states,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 16}",0.8919,0.95347,0.45082,5906.39562490882,1.693079948425293,912.0698149204254,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,16.0
dynamic_dialogue_states,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 64}",0.9111,0.9735,0.8760859999999999,4049.433101146619,2.4694814682006836,912.0698149204254,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,64.0
dynamic_dialogue_states,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 128}",0.9156,0.9781700000000001,0.992083,2312.4438780941928,4.324429273605347,912.0698149204254,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,128.0
dynamic_dialogue_states,HNSW,"{'M': 32, 'efConstruction': 200, 'efSearch': 256}",0.9175,0.98006,0.994707,1161.2129925830889,8.611684560775757,912.0698149204254,3021.3104248046875,990023,10000,768,all-mpnet-base-v2,,,32.0,200.0,256.0
