embedding_base,index_type,query_order,dynamic,static,delta_dynamic_static,dynamic_better,static_better,tie
Dialog2Flow,HNSW,0,4.3,3.0,1.2999999999999998,True,False,False
Dialog2Flow,HNSW,1,3.8,2.8,1.0,True,False,False
Dialog2Flow,HNSW,2,4.2,3.5,0.7000000000000002,True,False,False
Dialog2Flow,HNSW,3,3.7,2.4,1.3000000000000003,True,False,False
Dialog2Flow,HNSW,4,3.3,3.1,0.19999999999999973,True,False,False
Dialog2Flow,HNSW,5,3.4,3.3,0.10000000000000009,True,False,False
Dialog2Flow,HNSW,6,5.0,5.0,0.0,False,False,True
Dialog2Flow,HNSW,7,3.8,5.0,-1.2000000000000002,False,True,False
Dialog2Flow,HNSW,8,3.2,3.8,-0.5999999999999996,False,True,False
Dialog2Flow,HNSW,9,3.6,3.8,-0.19999999999999973,False,True,False
Dialog2Flow,HNSW,10,4.6,4.6,0.0,False,False,True
Dialog2Flow,HNSW,11,4.6,4.3,0.2999999999999998,True,False,False
Dialog2Flow,HNSW,12,2.7,2.0,0.7000000000000002,True,False,False
Dialog2Flow,HNSW,13,3.7,3.0,0.7000000000000002,True,False,False
Dialog2Flow,HNSW,14,3.5,4.0,-0.5,False,True,False
Dialog2Flow,HNSW,15,3.2,2.9,0.30000000000000027,True,False,False
Dialog2Flow,HNSW,16,3.8,4.1,-0.2999999999999998,False,True,False
Dialog2Flow,HNSW,17,3.5,3.3,0.20000000000000018,True,False,False
Dialog2Flow,HNSW,18,3.6,3.0,0.6000000000000001,True,False,False
Dialog2Flow,HNSW,19,3.8,3.4,0.3999999999999999,True,False,False
Dialog2Flow,HNSW,20,3.7,4.0,-0.2999999999999998,False,True,False
Dialog2Flow,HNSW,21,2.9,2.7,0.19999999999999973,True,False,False
Dialog2Flow,HNSW,22,3.9,3.0,0.8999999999999999,True,False,False
Dialog2Flow,HNSW,23,3.9,3.6,0.2999999999999998,True,False,False
Dialog2Flow,HNSW,24,4.8,4.0,0.7999999999999998,True,False,False
Dialog2Flow,HNSW,25,4.2,3.1,1.1,True,False,False
Dialog2Flow,HNSW,26,4.0,4.0,0.0,False,False,True
Dialog2Flow,HNSW,27,3.4,3.1,0.2999999999999998,True,False,False
Dialog2Flow,HNSW,28,3.7,3.9,-0.19999999999999973,False,True,False
Dialog2Flow,HNSW,29,3.5,3.2,0.2999999999999998,True,False,False
Dialog2Flow,HNSW,30,3.4,3.1,0.2999999999999998,True,False,False
Dialog2Flow,HNSW,31,3.1,2.6,0.5,True,False,False
Dialog2Flow,HNSW,32,3.9,3.5,0.3999999999999999,True,False,False
Dialog2Flow,HNSW,33,3.3,3.7,-0.40000000000000036,False,True,False
Dialog2Flow,HNSW,34,4.0,2.1,1.9,True,False,False
Dialog2Flow,HNSW,35,3.5,2.0,1.5,True,False,False
Dialog2Flow,HNSW,36,3.6,3.3,0.30000000000000027,True,False,False
Dialog2Flow,HNSW,37,3.7,2.9,0.8000000000000003,True,False,False
Dialog2Flow,HNSW,38,3.1,4.1,-0.9999999999999996,False,True,False
Dialog2Flow,HNSW,39,3.6,2.4,1.2000000000000002,True,False,False
Dialog2Flow,HNSW,40,2.1,2.6,-0.5,False,True,False
Dialog2Flow,HNSW,41,5.0,5.0,0.0,False,False,True
Dialog2Flow,HNSW,42,3.7,3.5,0.20000000000000018,True,False,False
Dialog2Flow,HNSW,43,3.9,3.4,0.5,True,False,False
Dialog2Flow,HNSW,44,2.7,3.1,-0.3999999999999999,False,True,False
Dialog2Flow,HNSW,45,4.2,5.0,-0.7999999999999998,False,True,False
Dialog2Flow,HNSW,46,3.5,3.3,0.20000000000000018,True,False,False
Dialog2Flow,HNSW,47,3.9,3.8,0.10000000000000009,True,False,False
Dialog2Flow,HNSW,48,3.7,3.0,0.7000000000000002,True,False,False
Dialog2Flow,HNSW,49,3.5,3.8,-0.2999999999999998,False,True,False
Dialog2Flow,HNSW,50,3.6,3.0,0.6000000000000001,True,False,False
Dialog2Flow,HNSW,51,3.6,3.2,0.3999999999999999,True,False,False
Dialog2Flow,HNSW,52,3.0,3.0,0.0,False,False,True
Dialog2Flow,HNSW,53,3.7,3.6,0.10000000000000009,True,False,False
Dialog2Flow,HNSW,54,1.5,4.5,-3.0,False,True,False
Dialog2Flow,HNSW,55,4.6,4.2,0.39999999999999947,True,False,False
Dialog2Flow,HNSW,56,4.4,4.1,0.3000000000000007,True,False,False
Dialog2Flow,HNSW,57,3.5,2.2,1.2999999999999998,True,False,False
Dialog2Flow,HNSW,58,3.6,2.8,0.8000000000000003,True,False,False
Dialog2Flow,HNSW,59,3.4,3.6,-0.20000000000000018,False,True,False
Dialog2Flow,HNSW,60,4.1,2.4,1.6999999999999997,True,False,False
Dialog2Flow,HNSW,61,3.4,3.3,0.10000000000000009,True,False,False
Dialog2Flow,HNSW,62,3.6,2.8,0.8000000000000003,True,False,False
Dialog2Flow,HNSW,63,3.0,4.0,-1.0,False,True,False
Dialog2Flow,HNSW,64,4.3,3.6,0.6999999999999997,True,False,False
Dialog2Flow,HNSW,65,3.3,2.9,0.3999999999999999,True,False,False
Dialog2Flow,HNSW,66,2.8,2.7,0.09999999999999964,True,False,False
Dialog2Flow,HNSW,67,3.8,2.7,1.0999999999999996,True,False,False
Dialog2Flow,HNSW,68,3.2,2.7,0.5,True,False,False
Dialog2Flow,HNSW,69,2.8,1.9,0.8999999999999999,True,False,False
Dialog2Flow,HNSW,70,4.0,2.9,1.1,True,False,False
Dialog2Flow,HNSW,71,4.8,4.7,0.09999999999999964,True,False,False
Dialog2Flow,HNSW,72,5.0,5.0,0.0,False,False,True
Dialog2Flow,HNSW,73,4.2,3.2,1.0,True,False,False
Dialog2Flow,HNSW,74,5.0,4.7,0.2999999999999998,True,False,False
Dialog2Flow,HNSW,75,3.7,2.1,1.6,True,False,False
Dialog2Flow,HNSW,76,3.1,3.2,-0.10000000000000009,False,True,False
Dialog2Flow,HNSW,77,3.6,3.7,-0.10000000000000009,False,True,False
Dialog2Flow,HNSW,78,3.9,2.4,1.5,True,False,False
Dialog2Flow,HNSW,79,4.0,3.8,0.20000000000000018,True,False,False
Dialog2Flow,HNSW,80,3.4,3.7,-0.30000000000000027,False,True,False
Dialog2Flow,HNSW,81,3.3,3.9,-0.6000000000000001,False,True,False
Dialog2Flow,HNSW,82,3.8,3.4,0.3999999999999999,True,False,False
Dialog2Flow,HNSW,83,2.0,1.7,0.30000000000000004,True,False,False
Dialog2Flow,HNSW,84,3.8,3.4,0.3999999999999999,True,False,False
Dialog2Flow,HNSW,85,5.0,5.0,0.0,False,False,True
Dialog2Flow,HNSW,86,3.6,3.2,0.3999999999999999,True,False,False
Dialog2Flow,HNSW,87,4.3,4.2,0.09999999999999964,True,False,False
Dialog2Flow,HNSW,88,3.7,3.7,0.0,False,False,True
Dialog2Flow,HNSW,89,4.8,2.4,2.4,True,False,False
Dialog2Flow,HNSW,90,4.0,3.2,0.7999999999999998,True,False,False
Dialog2Flow,HNSW,91,2.9,3.5,-0.6000000000000001,False,True,False
Dialog2Flow,HNSW,92,3.1,3.3,-0.19999999999999973,False,True,False
Dialog2Flow,HNSW,93,3.6,2.7,0.8999999999999999,True,False,False
Dialog2Flow,HNSW,94,3.3,2.6,0.6999999999999997,True,False,False
Dialog2Flow,HNSW,95,3.4,3.4,0.0,False,False,True
Dialog2Flow,HNSW,96,3.3,4.0,-0.7000000000000002,False,True,False
Dialog2Flow,HNSW,97,4.1,4.0,0.09999999999999964,True,False,False
Dialog2Flow,HNSW,98,2.1,2.9,-0.7999999999999998,False,True,False
Dialog2Flow,HNSW,99,3.7,3.5,0.20000000000000018,True,False,False
Dialog2Flow,IVF,0,4.2,2.8,1.4000000000000004,True,False,False
Dialog2Flow,IVF,1,3.8,2.8,1.0,True,False,False
Dialog2Flow,IVF,2,4.0,3.5,0.5,True,False,False
Dialog2Flow,IVF,3,3.7,3.1,0.6000000000000001,True,False,False
Dialog2Flow,IVF,4,3.5,3.6,-0.10000000000000009,False,True,False
Dialog2Flow,IVF,5,3.4,3.6,-0.20000000000000018,False,True,False
Dialog2Flow,IVF,6,5.0,5.0,0.0,False,False,True
Dialog2Flow,IVF,7,3.8,5.0,-1.2000000000000002,False,True,False
Dialog2Flow,IVF,8,3.2,3.8,-0.5999999999999996,False,True,False
Dialog2Flow,IVF,9,4.0,3.5,0.5,True,False,False
Dialog2Flow,IVF,10,4.6,4.6,0.0,False,False,True
Dialog2Flow,IVF,11,4.6,4.3,0.2999999999999998,True,False,False
Dialog2Flow,IVF,12,2.7,2.0,0.7000000000000002,True,False,False
Dialog2Flow,IVF,13,4.1,2.9,1.1999999999999997,True,False,False
Dialog2Flow,IVF,14,3.5,4.0,-0.5,False,True,False
Dialog2Flow,IVF,15,3.2,2.9,0.30000000000000027,True,False,False
Dialog2Flow,IVF,16,3.8,3.9,-0.10000000000000009,False,True,False
Dialog2Flow,IVF,17,3.1,3.6,-0.5,False,True,False
Dialog2Flow,IVF,18,3.7,3.0,0.7000000000000002,True,False,False
Dialog2Flow,IVF,19,3.6,3.5,0.10000000000000009,True,False,False
Dialog2Flow,IVF,20,3.7,3.9,-0.19999999999999973,False,True,False
Dialog2Flow,IVF,21,3.2,2.8,0.40000000000000036,True,False,False
Dialog2Flow,IVF,22,3.9,4.0,-0.10000000000000009,False,True,False
Dialog2Flow,IVF,23,3.9,3.6,0.2999999999999998,True,False,False
Dialog2Flow,IVF,24,4.8,4.6,0.20000000000000018,True,False,False
Dialog2Flow,IVF,25,4.1,3.0,1.0999999999999996,True,False,False
Dialog2Flow,IVF,26,4.0,4.0,0.0,False,False,True
Dialog2Flow,IVF,27,3.4,3.1,0.2999999999999998,True,False,False
Dialog2Flow,IVF,28,3.7,3.9,-0.19999999999999973,False,True,False
Dialog2Flow,IVF,29,3.4,3.2,0.19999999999999973,True,False,False
Dialog2Flow,IVF,30,3.8,3.0,0.7999999999999998,True,False,False
Dialog2Flow,IVF,31,3.1,2.7,0.3999999999999999,True,False,False
Dialog2Flow,IVF,32,4.0,3.5,0.5,True,False,False
Dialog2Flow,IVF,33,3.5,3.7,-0.20000000000000018,False,True,False
Dialog2Flow,IVF,34,4.1,1.9,2.1999999999999997,True,False,False
Dialog2Flow,IVF,35,3.6,2.1,1.5,True,False,False
Dialog2Flow,IVF,36,3.6,3.3,0.30000000000000027,True,False,False
Dialog2Flow,IVF,37,3.6,2.6,1.0,True,False,False
Dialog2Flow,IVF,38,3.1,4.1,-0.9999999999999996,False,True,False
Dialog2Flow,IVF,39,3.6,2.2,1.4,True,False,False
Dialog2Flow,IVF,40,1.9,2.7,-0.8000000000000003,False,True,False
Dialog2Flow,IVF,41,5.0,5.0,0.0,False,False,True
Dialog2Flow,IVF,42,3.7,3.6,0.10000000000000009,True,False,False
Dialog2Flow,IVF,43,3.9,3.4,0.5,True,False,False
Dialog2Flow,IVF,44,3.1,3.1,0.0,False,False,True
Dialog2Flow,IVF,45,4.2,5.0,-0.7999999999999998,False,True,False
Dialog2Flow,IVF,46,3.5,3.3,0.20000000000000018,True,False,False
