embedding_base,variant,index_type,query_order,semantic_score_at10,functional_score_at10,memory_score_at10,mss_at10
Dialog2Flow,dinamico,HNSW,0,4.3,4.3,4.3,4.3
Dialog2Flow,dinamico,HNSW,1,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,HNSW,2,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,HNSW,3,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,4,3.3,3.3,3.3,3.3
Dialog2Flow,dinamico,HNSW,5,4.1,3.4,3.4,3.4
Dialog2Flow,dinamico,HNSW,6,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,HNSW,7,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,HNSW,8,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,HNSW,9,4.1,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,10,4.6,4.6,4.6,4.6
Dialog2Flow,dinamico,HNSW,11,4.6,4.6,4.6,4.6
Dialog2Flow,dinamico,HNSW,12,2.7,2.7,2.7,2.7
Dialog2Flow,dinamico,HNSW,13,3.8,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,14,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,HNSW,15,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,HNSW,16,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,HNSW,17,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,HNSW,18,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,19,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,HNSW,20,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,21,2.9,2.9,2.9,2.9
Dialog2Flow,dinamico,HNSW,22,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,HNSW,23,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,HNSW,24,4.8,4.8,4.8,4.8
Dialog2Flow,dinamico,HNSW,25,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,HNSW,26,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,HNSW,27,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,HNSW,28,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,29,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,HNSW,30,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,HNSW,31,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,HNSW,32,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,HNSW,33,3.3,3.3,3.3,3.3
Dialog2Flow,dinamico,HNSW,34,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,HNSW,35,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,HNSW,36,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,37,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,38,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,HNSW,39,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,40,2.1,2.1,2.1,2.1
Dialog2Flow,dinamico,HNSW,41,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,HNSW,42,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,43,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,HNSW,44,3.1,3.0,2.7,2.7
Dialog2Flow,dinamico,HNSW,45,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,HNSW,46,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,HNSW,47,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,HNSW,48,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,49,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,HNSW,50,3.6,4.0,3.6,3.6
Dialog2Flow,dinamico,HNSW,51,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,52,3.0,3.0,3.0,3.0
Dialog2Flow,dinamico,HNSW,53,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,54,1.5,1.5,1.5,1.5
Dialog2Flow,dinamico,HNSW,55,4.6,4.6,4.6,4.6
Dialog2Flow,dinamico,HNSW,56,4.4,4.4,4.4,4.4
Dialog2Flow,dinamico,HNSW,57,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,HNSW,58,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,59,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,HNSW,60,4.1,4.1,4.1,4.1
Dialog2Flow,dinamico,HNSW,61,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,HNSW,62,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,63,3.0,3.0,3.0,3.0
Dialog2Flow,dinamico,HNSW,64,4.3,4.3,4.2,4.3
Dialog2Flow,dinamico,HNSW,65,3.3,3.3,3.3,3.3
Dialog2Flow,dinamico,HNSW,66,2.8,2.8,2.8,2.8
Dialog2Flow,dinamico,HNSW,67,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,HNSW,68,3.1,3.1,3.2,3.2
Dialog2Flow,dinamico,HNSW,69,3.1,2.8,2.5,2.8
Dialog2Flow,dinamico,HNSW,70,4.1,4.0,4.0,4.0
Dialog2Flow,dinamico,HNSW,71,4.8,4.8,4.8,4.8
Dialog2Flow,dinamico,HNSW,72,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,HNSW,73,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,HNSW,74,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,HNSW,75,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,76,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,HNSW,77,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,78,3.9,3.9,3.8,3.9
Dialog2Flow,dinamico,HNSW,79,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,HNSW,80,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,HNSW,81,3.3,3.3,3.3,3.3
Dialog2Flow,dinamico,HNSW,82,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,HNSW,83,2.0,2.0,1.9,2.0
Dialog2Flow,dinamico,HNSW,84,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,HNSW,85,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,HNSW,86,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,87,4.3,4.3,4.3,4.3
Dialog2Flow,dinamico,HNSW,88,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,HNSW,89,4.8,4.8,4.8,4.8
Dialog2Flow,dinamico,HNSW,90,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,HNSW,91,2.9,2.9,2.9,2.9
Dialog2Flow,dinamico,HNSW,92,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,HNSW,93,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,HNSW,94,3.6,3.3,3.3,3.3
Dialog2Flow,dinamico,HNSW,95,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,HNSW,96,3.3,3.2,3.3,3.3
Dialog2Flow,dinamico,HNSW,97,4.1,4.1,4.1,4.1
Dialog2Flow,dinamico,HNSW,98,2.1,2.1,2.2,2.1
Dialog2Flow,dinamico,HNSW,99,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,0,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,IVF,1,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,IVF,2,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,IVF,3,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,4,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,IVF,5,4.1,3.4,3.4,3.4
Dialog2Flow,dinamico,IVF,6,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,IVF,7,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,IVF,8,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,IVF,9,4.1,4.0,4.0,4.0
Dialog2Flow,dinamico,IVF,10,4.6,4.6,4.6,4.6
Dialog2Flow,dinamico,IVF,11,4.6,4.6,4.6,4.6
Dialog2Flow,dinamico,IVF,12,2.7,2.7,2.7,2.7
Dialog2Flow,dinamico,IVF,13,4.3,4.1,4.1,4.1
Dialog2Flow,dinamico,IVF,14,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,IVF,15,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,IVF,16,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,IVF,17,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,IVF,18,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,19,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,20,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,21,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,IVF,22,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,IVF,23,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,IVF,24,4.8,4.8,4.8,4.8
Dialog2Flow,dinamico,IVF,25,4.1,4.1,4.1,4.1
Dialog2Flow,dinamico,IVF,26,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,IVF,27,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,IVF,28,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,29,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,IVF,30,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,IVF,31,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,IVF,32,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,IVF,33,3.5,3.9,3.5,3.5
Dialog2Flow,dinamico,IVF,34,4.1,4.1,4.1,4.1
Dialog2Flow,dinamico,IVF,35,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,36,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,37,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,38,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,IVF,39,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,40,1.9,1.9,1.9,1.9
Dialog2Flow,dinamico,IVF,41,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,IVF,42,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,43,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,IVF,44,3.1,3.0,3.1,3.1
Dialog2Flow,dinamico,IVF,45,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,IVF,46,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,IVF,47,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,IVF,48,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,49,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,IVF,50,3.6,4.2,3.6,3.6
Dialog2Flow,dinamico,IVF,51,3.6,3.6,3.4,3.6
Dialog2Flow,dinamico,IVF,52,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,IVF,53,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,IVF,54,2.3,1.4,1.4,1.4
Dialog2Flow,dinamico,IVF,55,4.9,4.9,4.9,4.9
Dialog2Flow,dinamico,IVF,56,4.4,4.4,4.4,4.4
Dialog2Flow,dinamico,IVF,57,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,58,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,59,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,IVF,60,4.1,4.1,4.1,4.1
Dialog2Flow,dinamico,IVF,61,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,IVF,62,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,63,3.0,3.0,3.0,3.0
Dialog2Flow,dinamico,IVF,64,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,IVF,65,3.3,3.3,3.3,3.3
Dialog2Flow,dinamico,IVF,66,2.9,2.9,2.9,2.9
Dialog2Flow,dinamico,IVF,67,3.7,3.7,3.4,3.7
Dialog2Flow,dinamico,IVF,68,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,IVF,69,3.5,3.1,2.8,3.1
Dialog2Flow,dinamico,IVF,70,4.5,4.5,4.5,4.5
Dialog2Flow,dinamico,IVF,71,4.3,4.3,4.3,4.3
Dialog2Flow,dinamico,IVF,72,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,IVF,73,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,IVF,74,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,IVF,75,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,76,3.1,3.1,3.1,3.1
Dialog2Flow,dinamico,IVF,77,3.5,3.7,3.5,3.5
Dialog2Flow,dinamico,IVF,78,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,IVF,79,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,80,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,IVF,81,2.7,2.7,2.7,2.7
Dialog2Flow,dinamico,IVF,82,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,83,2.0,2.0,1.9,2.0
Dialog2Flow,dinamico,IVF,84,3.8,3.8,3.8,3.8
Dialog2Flow,dinamico,IVF,85,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,IVF,86,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,87,4.3,4.3,4.3,4.3
Dialog2Flow,dinamico,IVF,88,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVF,89,4.8,4.8,4.8,4.8
Dialog2Flow,dinamico,IVF,90,4.0,4.0,4.0,4.0
Dialog2Flow,dinamico,IVF,91,2.9,2.9,2.9,2.9
Dialog2Flow,dinamico,IVF,92,2.9,2.9,2.9,2.9
Dialog2Flow,dinamico,IVF,93,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVF,94,3.6,3.3,3.3,3.3
Dialog2Flow,dinamico,IVF,95,3.4,3.4,3.4,3.4
Dialog2Flow,dinamico,IVF,96,4.1,3.5,3.5,3.5
Dialog2Flow,dinamico,IVF,97,4.1,4.1,4.1,4.1
Dialog2Flow,dinamico,IVF,98,2.1,2.1,2.2,2.1
Dialog2Flow,dinamico,IVF,99,3.7,3.7,3.7,3.7
Dialog2Flow,dinamico,IVFPQ,0,3.6,3.6,3.6,3.6
Dialog2Flow,dinamico,IVFPQ,1,3.5,3.5,3.5,3.5
Dialog2Flow,dinamico,IVFPQ,2,3.8,3.7,3.7,3.7
Dialog2Flow,dinamico,IVFPQ,3,3.2,3.2,3.2,3.2
Dialog2Flow,dinamico,IVFPQ,4,2.4,2.4,2.4,2.4
Dialog2Flow,dinamico,IVFPQ,5,2.9,2.8,2.8,2.8
Dialog2Flow,dinamico,IVFPQ,6,5.0,5.0,5.0,5.0
Dialog2Flow,dinamico,IVFPQ,7,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,IVFPQ,8,3.9,3.9,3.9,3.9
Dialog2Flow,dinamico,IVFPQ,9,4.1,3.6,3.6,3.6
Dialog2Flow,dinamico,IVFPQ,10,4.2,4.2,4.2,4.2
Dialog2Flow,dinamico,IVFPQ,11,4.3,4.3,4.3,4.3
