embedding_base,index_type,query_order,dynamic,static,delta_dynamic_static,dynamic_better,static_better,tie
MiniLM,HNSW,0,4.1,3.5,0.5999999999999996,True,False,False
MiniLM,HNSW,1,4.0,2.8,1.2000000000000002,True,False,False
MiniLM,HNSW,2,4.1,3.1,0.9999999999999996,True,False,False
MiniLM,HNSW,3,3.9,3.5,0.3999999999999999,True,False,False
MiniLM,HNSW,4,2.8,4.6,-1.7999999999999998,False,True,False
MiniLM,HNSW,5,3.9,3.7,0.19999999999999973,True,False,False
MiniLM,HNSW,6,5.0,5.0,0.0,False,False,True
MiniLM,HNSW,7,2.6,3.3,-0.6999999999999997,False,True,False
MiniLM,HNSW,8,2.7,4.2,-1.5,False,True,False
MiniLM,HNSW,9,3.9,3.7,0.19999999999999973,True,False,False
MiniLM,HNSW,10,4.6,3.5,1.0999999999999996,True,False,False
MiniLM,HNSW,11,4.6,4.3,0.2999999999999998,True,False,False
MiniLM,HNSW,12,3.0,2.3,0.7000000000000002,True,False,False
MiniLM,HNSW,13,3.9,3.2,0.6999999999999997,True,False,False
MiniLM,HNSW,14,3.5,3.6,-0.10000000000000009,False,True,False
MiniLM,HNSW,15,4.3,3.4,0.8999999999999999,True,False,False
MiniLM,HNSW,16,3.4,2.3,1.1,True,False,False
MiniLM,HNSW,17,3.4,3.0,0.3999999999999999,True,False,False
MiniLM,HNSW,18,3.9,2.5,1.4,True,False,False
MiniLM,HNSW,19,2.6,3.4,-0.7999999999999998,False,True,False
MiniLM,HNSW,20,4.0,3.9,0.10000000000000009,True,False,False
MiniLM,HNSW,21,3.2,2.7,0.5,True,False,False
MiniLM,HNSW,22,2.3,3.7,-1.4000000000000004,False,True,False
MiniLM,HNSW,23,4.3,4.0,0.2999999999999998,True,False,False
MiniLM,HNSW,24,1.9,4.2,-2.3000000000000003,False,True,False
MiniLM,HNSW,25,4.2,2.6,1.6,True,False,False
MiniLM,HNSW,26,3.1,3.6,-0.5,False,True,False
MiniLM,HNSW,27,4.2,3.9,0.30000000000000027,True,False,False
MiniLM,HNSW,28,3.8,2.4,1.4,True,False,False
MiniLM,HNSW,29,2.1,3.3,-1.1999999999999997,False,True,False
MiniLM,HNSW,30,3.1,2.7,0.3999999999999999,True,False,False
MiniLM,HNSW,31,2.2,2.9,-0.6999999999999997,False,True,False
MiniLM,HNSW,32,4.4,3.9,0.5000000000000004,True,False,False
MiniLM,HNSW,33,2.0,3.9,-1.9,False,True,False
MiniLM,HNSW,34,2.0,1.7,0.30000000000000004,True,False,False
MiniLM,HNSW,35,3.2,2.7,0.5,True,False,False
MiniLM,HNSW,36,3.9,3.4,0.5,True,False,False
MiniLM,HNSW,37,2.4,3.5,-1.1,False,True,False
MiniLM,HNSW,38,2.6,3.1,-0.5,False,True,False
MiniLM,HNSW,39,3.5,2.4,1.1,True,False,False
