embedding_base,variant,index_type,query_order,semantic_score_at10,functional_score_at10,memory_score_at10,mss_at10
MiniLM,dinamico,HNSW,0,4.1,4.1,4.1,4.1
MiniLM,dinamico,HNSW,1,4.0,4.0,4.0,4.0
MiniLM,dinamico,HNSW,2,4.2,4.1,4.1,4.1
MiniLM,dinamico,HNSW,3,3.9,3.9,3.9,3.9
MiniLM,dinamico,HNSW,4,2.8,2.8,2.8,2.8
MiniLM,dinamico,HNSW,5,3.9,3.9,3.9,3.9
MiniLM,dinamico,HNSW,6,5.0,5.0,5.0,5.0
MiniLM,dinamico,HNSW,7,2.6,2.6,2.6,2.6
MiniLM,dinamico,HNSW,8,2.7,2.7,2.7,2.7
MiniLM,dinamico,HNSW,9,4.4,3.9,3.9,3.9
MiniLM,dinamico,HNSW,10,4.6,4.6,4.6,4.6
MiniLM,dinamico,HNSW,11,4.6,4.6,4.6,4.6
MiniLM,dinamico,HNSW,12,3.0,3.0,3.0,3.0
MiniLM,dinamico,HNSW,13,4.0,3.9,3.9,3.9
MiniLM,dinamico,HNSW,14,3.5,3.5,3.5,3.5
MiniLM,dinamico,HNSW,15,4.3,4.3,4.3,4.3
MiniLM,dinamico,HNSW,16,3.4,3.4,3.4,3.4
MiniLM,dinamico,HNSW,17,3.4,3.4,3.4,3.4
MiniLM,dinamico,HNSW,18,3.9,3.9,3.9,3.9
MiniLM,dinamico,HNSW,19,2.6,2.6,2.6,2.6
MiniLM,dinamico,HNSW,20,4.0,4.0,4.0,4.0
MiniLM,dinamico,HNSW,21,3.2,3.2,3.2,3.2
MiniLM,dinamico,HNSW,22,2.3,2.3,2.3,2.3
MiniLM,dinamico,HNSW,23,4.3,4.3,4.3,4.3
MiniLM,dinamico,HNSW,24,1.9,1.9,1.9,1.9
MiniLM,dinamico,HNSW,25,4.2,4.2,4.2,4.2
MiniLM,dinamico,HNSW,26,3.1,3.1,3.1,3.1
MiniLM,dinamico,HNSW,27,4.2,4.2,4.2,4.2
MiniLM,dinamico,HNSW,28,3.8,3.8,3.8,3.8
MiniLM,dinamico,HNSW,29,2.1,2.1,2.1,2.1
MiniLM,dinamico,HNSW,30,3.1,3.1,3.1,3.1
MiniLM,dinamico,HNSW,31,2.2,2.2,2.2,2.2
MiniLM,dinamico,HNSW,32,4.5,4.4,4.4,4.4
MiniLM,dinamico,HNSW,33,2.0,2.0,2.0,2.0
MiniLM,dinamico,HNSW,34,2.0,2.0,2.0,2.0
MiniLM,dinamico,HNSW,35,3.2,3.2,3.2,3.2
MiniLM,dinamico,HNSW,36,4.0,3.9,3.9,3.9
MiniLM,dinamico,HNSW,37,2.4,2.4,2.4,2.4
MiniLM,dinamico,HNSW,38,2.6,2.6,2.6,2.6
MiniLM,dinamico,HNSW,39,3.5,3.5,3.5,3.5
MiniLM,dinamico,HNSW,40,4.0,4.0,3.0,4.0
MiniLM,dinamico,HNSW,41,5.0,5.0,5.0,5.0
MiniLM,dinamico,HNSW,42,3.1,3.1,3.1,3.1
MiniLM,dinamico,HNSW,43,3.5,3.5,3.5,3.5
MiniLM,dinamico,HNSW,44,3.8,3.3,3.3,3.3
MiniLM,dinamico,HNSW,45,3.0,3.0,3.0,3.0
MiniLM,dinamico,HNSW,46,2.1,2.1,2.1,2.1
MiniLM,dinamico,HNSW,47,3.9,3.9,3.9,3.9
MiniLM,dinamico,HNSW,48,2.7,2.7,2.7,2.7
MiniLM,dinamico,HNSW,49,3.4,3.4,3.4,3.4
MiniLM,dinamico,HNSW,50,3.9,3.9,3.9,3.9
MiniLM,dinamico,HNSW,51,3.4,3.4,3.4,3.4
MiniLM,dinamico,HNSW,52,3.2,3.2,3.2,3.2
MiniLM,dinamico,HNSW,53,3.0,3.0,3.0,3.0
MiniLM,dinamico,HNSW,54,2.3,2.3,2.3,2.3
MiniLM,dinamico,HNSW,55,2.6,2.5,2.5,2.5
MiniLM,dinamico,HNSW,56,3.2,3.2,2.4,3.1
MiniLM,dinamico,HNSW,57,2.3,2.3,2.3,2.3
MiniLM,dinamico,HNSW,58,2.8,2.8,2.8,2.8
MiniLM,dinamico,HNSW,59,2.4,2.4,2.4,2.4
MiniLM,dinamico,HNSW,60,3.3,3.3,3.3,3.3
MiniLM,dinamico,HNSW,61,3.6,3.6,3.6,3.6
MiniLM,dinamico,HNSW,62,3.7,3.7,3.7,3.7
MiniLM,dinamico,HNSW,63,2.6,2.6,2.6,2.6
MiniLM,dinamico,HNSW,64,2.8,2.8,2.8,2.8
MiniLM,dinamico,HNSW,65,3.7,3.7,3.7,3.7
MiniLM,dinamico,HNSW,66,2.7,2.7,2.7,2.7
MiniLM,dinamico,HNSW,67,3.8,3.8,3.8,3.8
MiniLM,dinamico,HNSW,68,4.0,4.0,4.0,4.0
MiniLM,dinamico,HNSW,69,2.6,2.6,2.6,2.6
MiniLM,dinamico,HNSW,70,4.5,4.4,4.4,4.4
MiniLM,dinamico,HNSW,71,2.7,2.7,2.6,2.7
MiniLM,dinamico,HNSW,72,5.0,5.0,5.0,5.0
MiniLM,dinamico,HNSW,73,2.9,2.9,2.9,2.9
MiniLM,dinamico,HNSW,74,4.6,3.9,3.9,3.9
MiniLM,dinamico,HNSW,75,3.5,3.5,3.5,3.5
MiniLM,dinamico,HNSW,76,2.9,2.9,2.9,2.9
MiniLM,dinamico,HNSW,77,3.7,3.7,3.7,3.7
MiniLM,dinamico,HNSW,78,4.0,3.9,3.0,4.0
MiniLM,dinamico,HNSW,79,2.7,2.7,2.7,2.7
MiniLM,dinamico,HNSW,80,3.4,3.4,3.4,3.4
MiniLM,dinamico,HNSW,81,3.4,3.4,3.4,3.4
MiniLM,dinamico,HNSW,82,3.7,3.7,3.7,3.7
MiniLM,dinamico,HNSW,83,2.2,2.2,2.2,2.2
MiniLM,dinamico,HNSW,84,3.9,3.9,3.9,3.9
MiniLM,dinamico,HNSW,85,5.0,5.0,5.0,5.0
MiniLM,dinamico,HNSW,86,3.5,3.5,3.5,3.5
MiniLM,dinamico,HNSW,87,2.2,2.2,2.2,2.2
MiniLM,dinamico,HNSW,88,4.3,4.3,4.3,4.3
MiniLM,dinamico,HNSW,89,2.5,2.5,2.5,2.5
MiniLM,dinamico,HNSW,90,4.0,4.0,4.0,4.0
MiniLM,dinamico,HNSW,91,2.7,2.7,2.7,2.7
MiniLM,dinamico,HNSW,92,2.9,2.9,2.9,2.9
MiniLM,dinamico,HNSW,93,3.8,3.8,3.8,3.8
MiniLM,dinamico,HNSW,94,2.8,2.7,2.8,2.8
MiniLM,dinamico,HNSW,95,2.9,2.9,2.9,2.9
MiniLM,dinamico,HNSW,96,3.3,3.3,3.3,3.3
MiniLM,dinamico,HNSW,97,2.9,2.9,2.9,2.9
MiniLM,dinamico,HNSW,98,2.4,2.4,2.4,2.4
MiniLM,dinamico,HNSW,99,3.6,3.6,3.6,3.6
MiniLM,dinamico,IVF,0,4.1,4.1,4.1,4.1
MiniLM,dinamico,IVF,1,4.0,4.0,4.0,4.0
MiniLM,dinamico,IVF,2,3.8,3.7,3.7,3.7
MiniLM,dinamico,IVF,3,4.1,4.0,4.0,4.0
MiniLM,dinamico,IVF,4,2.7,2.7,2.7,2.7
MiniLM,dinamico,IVF,5,3.8,3.3,3.3,3.3
MiniLM,dinamico,IVF,6,5.0,5.0,5.0,5.0
MiniLM,dinamico,IVF,7,2.5,2.5,2.5,2.5
MiniLM,dinamico,IVF,8,2.7,2.7,2.7,2.7
MiniLM,dinamico,IVF,9,4.4,3.9,3.9,3.9
MiniLM,dinamico,IVF,10,4.6,4.6,4.6,4.6
MiniLM,dinamico,IVF,11,4.6,4.5,4.5,4.5
