embedding_base,index_type,query_order,dynamic,static,delta_dynamic_static,dynamic_better,static_better,tie
MPNet,HNSW,0,3.5,2.9,0.6000000000000001,True,False,False
MPNet,HNSW,1,4.1,3.4,0.6999999999999997,True,False,False
MPNet,HNSW,2,3.3,3.4,-0.10000000000000009,False,True,False
MPNet,HNSW,3,3.7,3.2,0.5,True,False,False
MPNet,HNSW,4,2.7,4.4,-1.7000000000000002,False,True,False
MPNet,HNSW,5,3.6,3.3,0.30000000000000027,True,False,False
MPNet,HNSW,6,5.0,5.0,0.0,False,False,True
MPNet,HNSW,7,2.7,3.9,-1.1999999999999997,False,True,False
MPNet,HNSW,8,2.2,3.9,-1.6999999999999997,False,True,False
MPNet,HNSW,9,3.3,3.9,-0.6000000000000001,False,True,False
MPNet,HNSW,10,5.0,3.2,1.7999999999999998,True,False,False
MPNet,HNSW,11,4.6,4.2,0.39999999999999947,True,False,False
MPNet,HNSW,12,2.7,2.9,-0.19999999999999973,False,True,False
MPNet,HNSW,13,3.7,2.5,1.2000000000000002,True,False,False
MPNet,HNSW,14,3.5,4.2,-0.7000000000000002,False,True,False
MPNet,HNSW,15,4.0,3.4,0.6000000000000001,True,False,False
MPNet,HNSW,16,3.6,2.9,0.7000000000000002,True,False,False
MPNet,HNSW,17,3.3,3.2,0.09999999999999964,True,False,False
MPNet,HNSW,18,3.8,2.5,1.2999999999999998,True,False,False
MPNet,HNSW,19,2.8,3.2,-0.40000000000000036,False,True,False
MPNet,HNSW,20,4.7,3.9,0.8000000000000003,True,False,False
MPNet,HNSW,21,3.0,2.2,0.7999999999999998,True,False,False
MPNet,HNSW,22,2.0,3.5,-1.5,False,True,False
MPNet,HNSW,23,4.0,4.4,-0.40000000000000036,False,True,False
MPNet,HNSW,24,2.4,4.4,-2.0000000000000004,False,True,False
MPNet,HNSW,25,4.0,2.9,1.1,True,False,False
MPNet,HNSW,26,2.9,2.9,0.0,False,False,True
MPNet,HNSW,27,4.1,3.8,0.2999999999999998,True,False,False
MPNet,HNSW,28,3.6,3.5,0.10000000000000009,True,False,False
MPNet,HNSW,29,2.0,3.6,-1.6,False,True,False
MPNet,HNSW,30,2.5,2.3,0.20000000000000018,True,False,False
MPNet,HNSW,31,2.4,2.9,-0.5,False,True,False
MPNet,HNSW,32,4.4,4.2,0.20000000000000018,True,False,False
MPNet,HNSW,33,2.3,4.0,-1.7000000000000002,False,True,False
MPNet,HNSW,34,2.0,1.6,0.3999999999999999,True,False,False
MPNet,HNSW,35,2.9,1.8,1.0999999999999999,True,False,False
MPNet,HNSW,36,3.4,3.9,-0.5,False,True,False
MPNet,HNSW,37,2.8,3.5,-0.7000000000000002,False,True,False
MPNet,HNSW,38,2.6,2.3,0.30000000000000027,True,False,False
MPNet,HNSW,39,3.5,1.8,1.7,True,False,False
MPNet,HNSW,40,3.3,2.9,0.3999999999999999,True,False,False
MPNet,HNSW,41,5.0,5.0,0.0,False,False,True
MPNet,HNSW,42,3.1,4.0,-0.8999999999999999,False,True,False
MPNet,HNSW,43,4.0,3.5,0.5,True,False,False
MPNet,HNSW,44,4.0,3.0,1.0,True,False,False
MPNet,HNSW,45,3.2,4.7,-1.5,False,True,False
MPNet,HNSW,46,3.0,3.3,-0.2999999999999998,False,True,False
MPNet,HNSW,47,3.3,3.7,-0.40000000000000036,False,True,False
MPNet,HNSW,48,2.9,4.5,-1.6,False,True,False
MPNet,HNSW,49,3.4,3.0,0.3999999999999999,True,False,False
MPNet,HNSW,50,4.2,2.5,1.7000000000000002,True,False,False
MPNet,HNSW,51,3.4,3.0,0.3999999999999999,True,False,False
MPNet,HNSW,52,3.6,3.7,-0.10000000000000009,False,True,False
MPNet,HNSW,53,3.1,3.7,-0.6000000000000001,False,True,False
MPNet,HNSW,54,2.3,3.5,-1.2000000000000002,False,True,False
MPNet,HNSW,55,2.8,4.7,-1.9000000000000004,False,True,False
