embedding_base,variant,index_type,query_order,semantic_score_at10,functional_score_at10,memory_score_at10,mss_at10
MPNet,dinamico,HNSW,0,3.5,3.5,3.5,3.5
MPNet,dinamico,HNSW,1,4.1,4.1,3.8,4.1
MPNet,dinamico,HNSW,2,3.4,3.3,3.3,3.3
MPNet,dinamico,HNSW,3,3.8,3.7,3.7,3.7
MPNet,dinamico,HNSW,4,2.7,2.7,2.7,2.7
MPNet,dinamico,HNSW,5,4.3,3.6,3.6,3.6
MPNet,dinamico,HNSW,6,5.0,5.0,5.0,5.0
MPNet,dinamico,HNSW,7,2.7,2.7,2.7,2.7
MPNet,dinamico,HNSW,8,2.2,2.2,2.2,2.2
MPNet,dinamico,HNSW,9,3.7,3.3,3.3,3.3
MPNet,dinamico,HNSW,10,5.0,5.0,5.0,5.0
MPNet,dinamico,HNSW,11,4.6,4.6,4.6,4.6
MPNet,dinamico,HNSW,12,2.7,2.7,2.7,2.7
MPNet,dinamico,HNSW,13,4.0,3.7,3.7,3.7
MPNet,dinamico,HNSW,14,3.5,3.5,3.5,3.5
MPNet,dinamico,HNSW,15,4.0,4.0,4.0,4.0
MPNet,dinamico,HNSW,16,3.6,3.6,3.6,3.6
MPNet,dinamico,HNSW,17,3.3,3.3,3.3,3.3
MPNet,dinamico,HNSW,18,3.8,3.4,3.8,3.8
MPNet,dinamico,HNSW,19,2.8,2.8,2.8,2.8
MPNet,dinamico,HNSW,20,4.7,4.7,4.7,4.7
MPNet,dinamico,HNSW,21,3.0,3.0,3.0,3.0
MPNet,dinamico,HNSW,22,2.0,2.0,2.0,2.0
MPNet,dinamico,HNSW,23,4.0,4.0,4.0,4.0
MPNet,dinamico,HNSW,24,2.4,2.4,2.4,2.4
MPNet,dinamico,HNSW,25,4.0,4.0,4.0,4.0
MPNet,dinamico,HNSW,26,2.9,2.9,2.9,2.9
MPNet,dinamico,HNSW,27,4.1,4.1,4.1,4.1
MPNet,dinamico,HNSW,28,3.6,3.6,3.6,3.6
MPNet,dinamico,HNSW,29,2.0,2.0,2.0,2.0
MPNet,dinamico,HNSW,30,2.5,2.5,2.5,2.5
MPNet,dinamico,HNSW,31,2.4,2.4,2.4,2.4
MPNet,dinamico,HNSW,32,4.5,4.4,4.4,4.4
MPNet,dinamico,HNSW,33,2.3,2.3,2.3,2.3
MPNet,dinamico,HNSW,34,2.0,2.0,2.0,2.0
MPNet,dinamico,HNSW,35,2.9,2.9,2.9,2.9
MPNet,dinamico,HNSW,36,3.4,3.4,3.4,3.4
MPNet,dinamico,HNSW,37,2.8,2.8,2.8,2.8
MPNet,dinamico,HNSW,38,2.6,2.6,2.6,2.6
MPNet,dinamico,HNSW,39,3.5,3.5,3.5,3.5
MPNet,dinamico,HNSW,40,3.3,3.3,3.3,3.3
MPNet,dinamico,HNSW,41,5.0,5.0,5.0,5.0
MPNet,dinamico,HNSW,42,3.1,3.1,3.1,3.1
MPNet,dinamico,HNSW,43,4.0,4.0,4.0,4.0
MPNet,dinamico,HNSW,44,4.3,4.0,4.0,4.0
MPNet,dinamico,HNSW,45,3.2,3.2,3.2,3.2
MPNet,dinamico,HNSW,46,3.0,3.0,2.8,3.0
MPNet,dinamico,HNSW,47,3.3,3.3,3.3,3.3
MPNet,dinamico,HNSW,48,2.9,2.9,2.9,2.9
MPNet,dinamico,HNSW,49,3.4,3.4,3.4,3.4
MPNet,dinamico,HNSW,50,4.2,4.2,4.2,4.2
MPNet,dinamico,HNSW,51,3.4,3.4,3.4,3.4
MPNet,dinamico,HNSW,52,3.6,3.6,3.6,3.6
MPNet,dinamico,HNSW,53,3.1,3.1,3.1,3.1
MPNet,dinamico,HNSW,54,2.3,2.3,2.3,2.3
MPNet,dinamico,HNSW,55,2.8,2.8,2.8,2.8
MPNet,dinamico,HNSW,56,3.6,3.6,3.6,3.6
MPNet,dinamico,HNSW,57,2.3,2.3,2.3,2.3
MPNet,dinamico,HNSW,58,2.4,2.4,2.4,2.4
MPNet,dinamico,HNSW,59,2.4,2.4,2.4,2.4
MPNet,dinamico,HNSW,60,3.3,3.3,3.3,3.3
MPNet,dinamico,HNSW,61,3.2,3.2,3.2,3.2
MPNet,dinamico,HNSW,62,3.5,3.5,3.5,3.5
MPNet,dinamico,HNSW,63,2.7,2.7,2.7,2.7
MPNet,dinamico,HNSW,64,2.6,2.6,2.6,2.6
MPNet,dinamico,HNSW,65,3.7,3.7,3.7,3.7
MPNet,dinamico,HNSW,66,2.2,2.2,2.2,2.2
MPNet,dinamico,HNSW,67,3.8,3.8,3.8,3.8
MPNet,dinamico,HNSW,68,3.9,3.9,3.9,3.9
MPNet,dinamico,HNSW,69,2.5,2.5,2.5,2.5
MPNet,dinamico,HNSW,70,4.5,4.4,4.4,4.4
MPNet,dinamico,HNSW,71,2.5,2.5,2.4,2.5
MPNet,dinamico,HNSW,72,5.0,5.0,5.0,5.0
MPNet,dinamico,HNSW,73,2.9,2.9,2.9,2.9
MPNet,dinamico,HNSW,74,4.6,4.6,4.6,4.6
MPNet,dinamico,HNSW,75,3.5,3.5,3.5,3.5
MPNet,dinamico,HNSW,76,2.9,2.9,2.9,2.9
MPNet,dinamico,HNSW,77,3.5,3.5,3.5,3.5
MPNet,dinamico,HNSW,78,3.7,3.7,3.4,3.7
MPNet,dinamico,HNSW,79,2.8,2.8,2.8,2.8
MPNet,dinamico,HNSW,80,3.4,3.2,3.2,3.2
MPNet,dinamico,HNSW,81,3.1,3.1,3.1,3.1
MPNet,dinamico,HNSW,82,3.7,3.7,3.7,3.7
MPNet,dinamico,HNSW,83,2.6,2.6,2.6,2.6
MPNet,dinamico,HNSW,84,4.1,4.1,4.1,4.1
MPNet,dinamico,HNSW,85,5.0,5.0,5.0,5.0
MPNet,dinamico,HNSW,86,3.6,3.6,3.6,3.6
MPNet,dinamico,HNSW,87,2.5,2.5,2.5,2.5
MPNet,dinamico,HNSW,88,3.6,3.6,3.6,3.6
MPNet,dinamico,HNSW,89,2.5,2.5,2.5,2.5
MPNet,dinamico,HNSW,90,4.0,4.0,4.0,4.0
MPNet,dinamico,HNSW,91,2.7,2.7,2.7,2.7
MPNet,dinamico,HNSW,92,2.9,2.9,2.9,2.9
MPNet,dinamico,HNSW,93,4.1,4.1,4.1,4.1
MPNet,dinamico,HNSW,94,3.5,2.6,2.8,2.7
MPNet,dinamico,HNSW,95,3.7,3.7,3.7,3.7
MPNet,dinamico,HNSW,96,3.3,2.8,3.3,3.3
MPNet,dinamico,HNSW,97,2.9,2.9,2.9,2.9
MPNet,dinamico,HNSW,98,1.7,1.7,1.7,1.7
MPNet,dinamico,HNSW,99,4.0,4.0,4.0,4.0
MPNet,dinamico,IVF,0,3.5,3.5,3.5,3.5
MPNet,dinamico,IVF,1,4.1,4.1,4.1,4.1
MPNet,dinamico,IVF,2,3.4,3.3,3.3,3.3
MPNet,dinamico,IVF,3,3.8,3.8,3.8,3.8
MPNet,dinamico,IVF,4,2.5,2.5,2.5,2.5
MPNet,dinamico,IVF,5,4.1,3.6,3.6,3.6
MPNet,dinamico,IVF,6,5.0,5.0,5.0,5.0
MPNet,dinamico,IVF,7,2.7,2.7,2.7,2.7
MPNet,dinamico,IVF,8,2.5,2.3,2.2,2.2
MPNet,dinamico,IVF,9,4.5,4.0,4.0,4.0
MPNet,dinamico,IVF,10,5.0,5.0,5.0,5.0
MPNet,dinamico,IVF,11,4.6,4.5,4.5,4.5
MPNet,dinamico,IVF,12,3.1,3.1,3.1,3.1
MPNet,dinamico,IVF,13,4.0,3.7,3.7,3.7
MPNet,dinamico,IVF,14,3.5,3.5,3.5,3.5
MPNet,dinamico,IVF,15,4.0,4.0,4.0,4.0
MPNet,dinamico,IVF,16,3.9,3.8,3.9,3.9
MPNet,dinamico,IVF,17,3.1,3.1,3.1,3.1
MPNet,dinamico,IVF,18,3.7,3.3,3.7,3.7
MPNet,dinamico,IVF,19,2.8,2.8,2.8,2.8
MPNet,dinamico,IVF,20,4.7,4.7,4.7,4.7
MPNet,dinamico,IVF,21,3.0,3.0,3.0,3.0
MPNet,dinamico,IVF,22,2.6,2.6,2.6,2.6
MPNet,dinamico,IVF,23,4.0,4.0,4.0,4.0
MPNet,dinamico,IVF,24,2.2,2.2,2.2,2.2
MPNet,dinamico,IVF,25,4.0,3.9,3.9,3.9
MPNet,dinamico,IVF,26,2.8,2.8,2.8,2.8
MPNet,dinamico,IVF,27,4.1,4.1,4.1,4.1
MPNet,dinamico,IVF,28,3.7,3.7,3.7,3.7
MPNet,dinamico,IVF,29,1.9,1.9,1.9,1.9
MPNet,dinamico,IVF,30,2.5,2.5,2.5,2.5
MPNet,dinamico,IVF,31,2.3,2.3,2.3,2.3
MPNet,dinamico,IVF,32,4.5,4.4,4.4,4.4
MPNet,dinamico,IVF,33,2.2,2.2,2.2,2.2
MPNet,dinamico,IVF,34,2.0,2.0,2.0,2.0
MPNet,dinamico,IVF,35,2.9,2.9,2.9,2.9
MPNet,dinamico,IVF,36,3.4,3.4,3.4,3.4
MPNet,dinamico,IVF,37,2.5,2.5,2.5,2.5
MPNet,dinamico,IVF,38,2.6,2.6,2.6,2.6
MPNet,dinamico,IVF,39,3.5,3.5,3.5,3.5
MPNet,dinamico,IVF,40,3.4,3.4,3.4,3.4
MPNet,dinamico,IVF,41,5.0,5.0,5.0,5.0
MPNet,dinamico,IVF,42,3.1,3.1,3.1,3.1
MPNet,dinamico,IVF,43,4.0,4.0,4.0,4.0
MPNet,dinamico,IVF,44,4.0,3.3,3.3,3.3
MPNet,dinamico,IVF,45,3.0,3.0,3.0,3.0
MPNet,dinamico,IVF,46,2.2,2.1,2.0,2.1
MPNet,dinamico,IVF,47,3.3,3.3,3.3,3.3
MPNet,dinamico,IVF,48,2.9,2.9,2.9,2.9
MPNet,dinamico,IVF,49,3.6,3.6,3.6,3.6
MPNet,dinamico,IVF,50,4.1,4.1,4.1,4.1
MPNet,dinamico,IVF,51,3.3,3.3,3.0,3.3
MPNet,dinamico,IVF,52,3.6,3.6,3.1,3.6
MPNet,dinamico,IVF,53,3.6,3.6,3.6,3.6
MPNet,dinamico,IVF,54,2.3,2.3,2.3,2.3
MPNet,dinamico,IVF,55,2.8,2.8,2.8,2.8
MPNet,dinamico,IVF,56,3.5,3.5,3.5,3.5
MPNet,dinamico,IVF,57,2.3,2.3,2.3,2.3
MPNet,dinamico,IVF,58,2.4,2.4,2.4,2.4
MPNet,dinamico,IVF,59,2.7,2.7,2.7,2.7
MPNet,dinamico,IVF,60,3.3,3.3,3.3,3.3
MPNet,dinamico,IVF,61,3.2,3.2,3.2,3.2
MPNet,dinamico,IVF,62,3.5,3.5,3.5,3.5
MPNet,dinamico,IVF,63,2.7,2.7,2.7,2.7
MPNet,dinamico,IVF,64,2.8,2.8,2.8,2.8
MPNet,dinamico,IVF,65,3.7,3.4,3.3,3.4
MPNet,dinamico,IVF,66,2.2,2.2,2.2,2.2
MPNet,dinamico,IVF,67,3.8,3.8,3.8,3.8
MPNet,dinamico,IVF,68,3.9,3.9,3.9,3.9
MPNet,dinamico,IVF,69,2.5,2.5,2.5,2.5
MPNet,dinamico,IVF,70,4.5,4.4,4.4,4.4
MPNet,dinamico,IVF,71,2.5,2.5,2.4,2.5
MPNet,dinamico,IVF,72,5.0,5.0,5.0,5.0
MPNet,dinamico,IVF,73,2.9,2.9,2.9,2.9
MPNet,dinamico,IVF,74,4.6,4.6,4.6,4.6
MPNet,dinamico,IVF,75,3.5,3.5,3.5,3.5
MPNet,dinamico,IVF,76,2.9,2.9,2.9,2.9
MPNet,dinamico,IVF,77,3.5,3.5,3.5,3.5
MPNet,dinamico,IVF,78,3.7,3.7,3.7,3.7
MPNet,dinamico,IVF,79,2.7,2.7,2.7,2.7
MPNet,dinamico,IVF,80,3.6,3.4,3.4,3.4
MPNet,dinamico,IVF,81,3.2,3.2,3.2,3.2
MPNet,dinamico,IVF,82,3.9,3.9,3.9,3.9
MPNet,dinamico,IVF,83,2.6,2.6,2.6,2.6
MPNet,dinamico,IVF,84,4.4,4.4,4.4,4.4
MPNet,dinamico,IVF,85,5.0,5.0,5.0,5.0
MPNet,dinamico,IVF,86,3.6,3.6,3.6,3.6
MPNet,dinamico,IVF,87,2.5,2.5,2.5,2.5
MPNet,dinamico,IVF,88,3.6,3.6,3.6,3.6
